Nom,Localisation,Type,Etat_poste,Nb_place,Heure_operation,Long,Lat,MTM8_X,MTM8_Y
"48-864","Au coin de l'avenue De Granby et la rue Hochelaga. Situé au nord-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.5325541496195,45.57877340146011,302259.4,5048763.4
"48-863","Au coin de la rue Faradon et la rue Du Trianon. Situé au nord-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.54017790422972,45.59024056897398,301665.1,5050038
"48-862","Au coin de la rue De Cadillac et la rue Sherbrooke E. Situé au nord-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.54684925026959,45.57695346542996,301143.7,5048561.7
"48-791","Au coin de la rue François-Boivin et la rue Beaubien E. Situé au nord-ouest de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.55951630685422,45.59040806366157,300156.2,5050057.5
"48-343","Au coin de la rue Pierre-Tétrault et la rue Hochelaga. Situé au nord-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.52026748663775,45.60092592753438,303218.9,5051224.9
"48-342","Au coin de l'avenue Mercier et la rue Notre-Dame E. Situé au sud-ouest de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.51157712936805,45.59558108100401,303896.8,5050630.8
"48-340","Au coin de la rue Desmarteaux et la rue Sherbrooke E. Situé au nord-ouest de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.52853959206544,45.60775460553625,302573.9,5051984
"48-338","Au coin de la rue A. A-Desroches et la rue Hochelaga. Situé au nord-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.52360386032717,45.594423330871756,302958.4,5050502.3
"23-186","Au coin de la rue Théodore et l'avenue Pierre-de-Coubertin. Situé au sud-est de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.54661750767264,45.56121102128603,301160.8,5046812.2
"23-185","Au 5000 rue Sherbrooke E (Hotel Universel). Poste privé de Taxi Hochelaga","Privé","Poste prive actif",2,"24H / 7J",-73.5535723455078,45.56586912397786,300618.2,5047330.2
"23-181","Au coin de la rue Nicolet et la rue Sainte-Catherine E. Situé au sud-ouest de l'intersection","Public","Poste public actif",4,"24h / 7J",-73.53782153115236,45.5444856534763,301846.6,5044953.1
"23-180","Au coin de la rue Moreau et la rue Hochelaga. Situé au nord-est de l'intersection","Public","Poste public actif",2,"24h / 7J",-73.55479043068846,45.54160230145006,300521.3,5044633.4
"23-178","Au coin de la rue Joliette et la rue Hochelaga. Situé au sud-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.55133391484986,45.54672755401565,300791.6,5045202.8
"23-176","Au coin de la rue Cuvillier et la rue Ontario E. Situé au sud-ouest de l'intersection","Public","Poste public actif",4,"24h / 7J",-73.54591813383786,45.54356787719785,301214.3,5044851.4
"23-183","Au coin de l'avenue Pierre-de-Coubertin et le boul. Pie-IX. Situé au sud-ouest de l'intersection","Public","Poste public temporaire",7,"24H / 7J",-73.55170297596487,45.55336819452575,300763.2,5045940.8
"48-788","Au 3075 boul. De L'Assomption. Métro de l'Assomption","Public","Poste public actif",2,"24H / 7J",-73.54670826011888,45.56891468606902,301154.2,5047668.3
"23-177","Au coin de l'avenue Desjardins et la rue Ontario E. Situé au nord-ouest de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.5410571227539,45.55121870967869,301594.3,5045701.5
"48-341","Au coin de la rue Honoré-Beaugrand et la rue Sherbrooke E. Situé au nord-ouest de l'intersection","Public","Poste public actif",8,"24H / 7J",-73.53492631296695,45.596435162747646,302075.2,5050726.2
"48-865","Au 3235 avenue De Granby. Poste privé de Taxi Coop. Centre commercial Domaine","Privé","Poste prive actif",6,"24H / 7J",-73.54223957130279,45.581706607575406,301503.7,5049089.7
"23-184","Au coin de la rue Préfontaine et la rue Sherbrooke E. Situé au sud-ouest de l'intersection","Public","Poste public actif",1,"24H / 7J",-73.55738635189817,45.543091975193484,300318.7,5044799.1
"48-861","Au coin de la rue De Cadillac et la rue Hochelaga. Situé au nord-est de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.5358357317383,45.57329517335842,302003.1,5048154.7
"23-910","Av. Valois - Ontario E.","Public","Poste public actif",4,"24H / 7J",-73.54374641534423,45.547239219814024,301384.1,5045259.3
"39-884","6425, boul. Léger (Réserve) / Mail Langelier. Privé Coop de l'Est","Privé","Poste prive actif",7,"",-73.62226732195127,45.62355347070872,295265.7,5053746.6
"39-870","6425 boul. Léger (Tigre Géant) / Mail Langelier.","En commun","Poste encommun actif",2,"",-73.62296469629514,45.623793579681966,295211.4,5053773.4
"39-278","10495, boul. Pie-IX / Centre commercial Forest. Privé Hochelaga","Privé","Poste prive actif",4,"",-73.634381222229,45.589019694844204,294314.6,5049910.3
"39-284","Au coin du boul. Henri-Bourassa et la rue Lacordaire. Situé au sud-est de l'intersection. Petro-Canada","En commun","Poste encommun actif",4,"De soir",-73.61936760367826,45.60662528405188,295489,5051865
"39-875","Au 11300 boul. Lacordaire. Poste privé de Taxi Coop de l'Est . Esso","Privé","Poste prive actif",8,"24H / 7J",-73.61901877301636,45.605647311912726,295516.1,5051756.3
"39-873","Au 6000 boul. Henri-Bourassa E. Poste privé de Taxi Hochelaga. Épicerie Super C","Privé","Poste prive actif",7,"24H / 7J",-73.61778434868774,45.607130833233256,295612.6,5051921
"39-871","Au coin de la rue De Charleroi et l'avenue Lamoureux. Situé au nord-est de l'intersection.","Public","Poste public actif",4,"18H30 à 9H",-73.62721252480696,45.59888413591831,294875.7,5051005.7
"39-277","Au coin de l'avenue Pelletier et le boul. Henri-Bourassa E. Situé au sud-est de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.63998134819337,45.59850316807809,293879.5,5050965
"39-276","Au coin du boul. Saint-Michel et la rue Fleury E. Situé au nord-est de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.64317703253613,45.57969367314508,293626.5,5048875.1
"39-274","Au coin du 3279 boul. Henri-Bourassa E et le boul. Saint-Michel. Situé au nord-est de l'intersection","Public","Poste public actif",1,"24H / 7J",-73.65041209391785,45.584213917021046,293062.8,5049378.5
"39-872","Au coin de l'avenue Georges-Pichet et la rue De Charleroi. Situé au nord-ouest de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.62678337070975,45.59918440424656,294909.3,5051039
"39-874","Au 6425 boul. Léger. Mail Langelier","En commun","Poste encommun actif",7,"24H / 7J",-73.62300806560671,45.62305315143496,295207.9,5053691.1
"3-585","15760, boul. de Pierrefonds. Marché Akhawan. Poste privé de la compagnie Taxi Coop de l'Ouest","Privé","Poste prive actif",6,"24H / 7J",-73.8673209013275,45.478431284205975,276082.8,5037677.4
"3-31","4849, boul. Saint-Jean. Épicerie Provigo. Poste privé de la compagnie Taxi Coop de l'Ouest.","Privé","Poste prive actif",4,"24H / 7J",-73.8501506,45.4909606,277431.3,5039063.7
"3-29","9562, boul. Gouin O.. Bowl-O-Drome. Poste privé Taxi Coop de l'Ouest","Privé","Poste prive actif",10,"24H / 7J",-73.78057847301636,45.503620711983,282874.1,5040449.3
"45-917","Boul. Armand-Bombardier / boul. Perras. Situé au nord-ouest de l'intersection sur le boul. Armand-Bombardier","Public","Poste public actif",5,"",-73.59730238042603,45.63861771127216,297214.5,5055418.1
"45-902","Au coin de l'avenue Rita-Levi-Montalcini et du boul. Maurice-Duplessis.. Situé au sud-est de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.57990084732972,45.63833878441171,298571,5055385.6
"49-740","Au coin de la rue Léonard-Chaigneau et la rue Notre-Dame E. Situé au nord-ouest de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.48833577962341,45.69342707130519,305708.4,5061504.7
"49-690","Au coin du boul. De la Rousselière et de la rue Sherbrooke E. Situé au nord-ouest de l'intersection","Public","Poste public actif",10,"24H / 7J",-73.50534541534421,45.66930931353723,304383.5,5058824.4
"49-346","Au 12 900 rue Notre-Dame E. Centre Le Cardinal","En commun","Poste encommun actif",4,"24H / 7J",-73.48966608095094,45.65282410300077,305605.4,5056992.3
"45-554","Au coin du boul. Rivières-des-Prairies et le boul. Maurice-Duplessis. Situé au nord-ouest de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.56180519206544,45.650804400000006,299982.8,5056769.7
"45-553","Au coin du boul. Maurice-Duplessis et le boul. Armand-Bombardier. Situé au nord-ouest de l'intersection","Public","Poste public actif",7,"24H / 7J",-73.58972327829588,45.63142808632133,297804.4,5054618.4
"49-349","Au 1484 boul. Saint-Jean-Baptiste / Les galeries Saint-Jean-Baptiste.  .","En commun","Poste encommun actif",5,"24H / 7J",-73.50467078710251,45.64213343116583,304435.9,5055804.2
"49-350","Au 12695 rue Sherbrooke E. Poste privé de Taxi Coop de l'Est. Épicerie Super C","Privé","Poste prive actif",3,"24H / 7J",-73.51107596249618,45.654911893409476,303936.8,5057224.4
"44-908","Le poste est situé au coin des rues Molson et William-Tremblay (sud-est).","Public","Poste public actif",5,"En tout temps",-73.56487921957398,45.54159271253005,299733.4,5044632.9
"44-860","Au coin du boul. Rosemont et la rue Châtelain. Situé au nord-est de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.56208848992537,45.57575866708983,299954.3,5048429.7
"44-858","Au coin de la rue Saint-Zotique E et la rue Jeanne-Jugan. Situé au nord-est de l'intersection","Public","Poste public actif",7,"24H / 7J",-73.57042157636897,45.57934035936484,299304.3,5048828.3
"44-856","Au coin de la 13e avenue et le boul. Rosemont. Situé au nord-ouest de l'intersection","Public","Poste public actif",2,"24H / 7J",-73.57968378106307,45.554216384964484,298578.7,5046036.9
"44-843","Au coin de l'avenue Louis-Hébert et la rue Beaubien. Situé au nord-est de l'intersection","Public","Poste public actif",7,"24H / 7J",-73.59216785509489,45.54833438762879,297603.2,5045384.2
"44-722","Au coin de l'avenue Valois et Place Victor-Bourgeau. Situé au sud-est de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.55602738042603,45.55092167950858,300425.4,5045669.2
"44-657","Au 2535 rue Masson. Poste privé Taxi Coop. Maxi","Privé","Poste prive actif",3,"24h / 7J",-73.5774145116394,45.5441224,298754.8,5044914.9
"44-311","Au coin de la 3e avenue et la rue Masson. Situé au nord-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.57607889149222,45.54644772002215,298859.3,5045173.2
"44-310","Au coin de la 17e avenue et la rue Masson. Situé au sud-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.57065010044607,45.55534327774547,299284.1,5046161.4
"35-693","Au coin de la rue Beaubien E et la rue De la Roche. Situé au nord-est de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.600965499354,45.53880648359106,296914.9,5044326.2
"35-641","Au coin de la rue De Saint-Vallier et la rue Jean-Talon E . Situé au sud-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.6043464,45.5347588,296650.3,5043876.7
"35-638","Au coin de l'avenue Chateaubriand et la rue Beaubien E. Situé au nord-ouest de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.60391807713307,45.535426246246686,296683.9,5043950.9
"44-859","Au coin de la rue Bélanger et la rue Viau. Situé au nord-est de l'intersection. Institut de cardiologie","Public","Poste public temporaire",4,"24H / 7J",-73.58006572736485,45.57363409937181,298551,5048194.8
"35-640","Au coin de la rue Saint-Vallier et la rue De Bellechasse. Situé au sud-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.61369419071707,45.53885833602515,295920.9,5044333.3
"44-568","Au 2925 rue Rachel E. Poste privé Diamond - Hochelaga. Provigo","Privé","Poste prive actif",2,"24H / 7J",-73.56170672750854,45.54500790240152,299981.4,5045012.3
"44-800","Au coin de la 16e avenue et la rue Bellechasse. Situé au nord-ouest de l'intersection","Public","Poste public actif",5,"24H / 7J",-73.57961940739187,45.557191334354386,298584,5046367.5
"44-312","Au coin de la 7e avenue et la rue Masson. Situé au nord-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.57466483103053,45.54870517635146,298970,5045424
"44-857","Au coin du boul. L'Assomption et l'avenue Des Saules. Situé au sud-est de l'intersection","Public","Poste public actif",8,"24H / 7J",-73.55745577799098,45.5727129785681,300315.6,5048090.9
"35-538","Au coin de la rue Chabot et le boul. Rosemont. Situé au nord-ouest de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.590476990139,45.54180404046599,297734.4,5044658.4
"7-922","1115, boul. Décarie. Poste privé de Champlain situé aux Galeries Norgate","Privé","Poste prive actif",2,"",-73.68346623439331,45.51538355317106,290466,5041734.6
"7-921","6005, boul. de la Côte-Vertu . situé devant la porte d'Air Inuit","En commun","Poste encommun actif",4,"",-73.7303930907379,45.478375910466426,286787.8,5037631.4
"7-920","boul. Pitfield au coin du boul. de la Côte-Vertu. Situé au nord-ouest de l'intersection sur le boul. Pitfield","Public","Poste public actif",8,"24H/7J",-73.72334857672121,45.482347955406375,287339.8,5038071.2
"7-813","Au 3131 boul. de la Côte-Vertu (RBC). Poste privé de Taxi Champlain","Privé","Poste prive actif",8,"24H/ 7J",-73.70399126029662,45.49803330178101,288857.5,5039810.3
"7-793","Au coin du 1115 Décarie et le boul. De la Côte-Vertu. Poste privé de Taxi Champlain","Privé","Poste prive actif",6,"24H / 7J",-73.68284701957396,45.51465315280705,290514.2,5041653.3
"7-73","Au 6600 boul. de la Côte-de-Liesse (Hotel Crowne Plaza). Poste privé de Taxi Diamond","Privé","Poste prive actif",3,"24H / 7J",-73.69228111045072,45.484378488114814,289769,5038290.6
"7-64","Au coin du boul. Decarie et de la rue Du College. Situé au sud-est de l'intersection","Public","Poste public actif",4,"24H / 7J",-73.67476451531371,45.50945567046777,291144.4,5041074.3
"7-814","Au 4545 boul. de la Côte-Vertu (Hotel Days Inn). Poste privé de Taxi Diamond","Privé","Poste prive actif",4,"24H / 7J",-73.7171502465576,45.48747336572323,287825.9,5038639.5
"7-65","Au coin du  boul. Édouard-Laurin et du boul. Décarie. Situé au sud-ouest de l'intersection","Public","Poste public actif",3,"24H / 7J",-73.68175818490295,45.51325629464034,290598.9,5041497.9
"7-815","Au coin du 1015 rue Décarie et du boul. de la Côte-Vertu. Poste privé de Taxi Diamond-Hochelaga","Privé","Poste prive actif",8,"24H / 7J",-73.66801643685898,45.50304441899878,291670.2,5040360.7
"7-71","Au 9191 boul.Cavendish (IKEA). Poste privé de Taxi Diamond","Privé","Poste prive actif",3,"24H / 7J",-73.69004094337765,45.49075493501157,289945.8,5038998.8
"7-63","Au 7700 Chemin de la Côte-de-Liesse (Quality Hotel). Poste privé de Taxi Diamond","Privé","Poste prive actif",4,"24H / 7J",-73.70099556878665,45.47824561462481,289086.1,5037610.7
"7-887","7000, Place Robert-Joncas / Hôtel Courtyard .","Privé","Poste prive actif",1,"7J / 24H",-73.7003602246063,45.493207496288235,289139.9,5039273.3
"42-729","Au 4325 rue Jean-Talon E. Poste privé de Taxi Coop de l'Est. Épicerie Maxi","Privé","Poste prive actif",6,"24h / 7J",-73.59004091772158,45.5698811401204,297772,5047778.6
